GAL_ID,GROUP_ID
306082,13
306083,13
306088,13
306103,13
306104,13
306105,13
306114,13
306115,13
306116,13
306117,13
306118,13
306119,13
306124,13
306126,13
306127,13
306136,13
306137,13
306138,13
306148,13
306149,13
306150,13
306151,13
306160,13
306169,13
306171,13
306179,13
306180,13
306181,13
306182,13
306184,13
306193,13
306194,13
306198,13
306201,13
306206,13
306216,13
306223,13
327536,14
327537,14
327546,14
327552,14
327553,14
327558,14
327561,14
327563,14
327572,14
327573,14
327574,14
327576,14
327586,14
327601,14
327602,14
327604,14
327614,14
327616,14
327617,14
327625,14
327626,14
327640,14
327641,14
327643,14
327648,14
327650,14
327651,14
327653,14
327662,14
327664,14
327665,14
327672,14
327673,14
327676,14
327679,14
327680,14
327685,14
327692,14
327695,14
327696,14
327697,14
327708,14
266801,15
266813,15
266854,15
266858,15
266862,15
266871,15
266899,15
266908,15
266913,15
266921,15
266925,15
266926,15
266927,15
266934,15
266935,15
266938,15
266939,15
266945,15
266957,15
266961,15
266964,15
266979,15
266984,15
266986,15
266989,15
266995,15
267005,15
267009,15
267010,15
267016,15
267018,15
267023,15
267031,15
267043,15
267049,15
267063,15
267068,15
267094,15
306794,16
306808,16
306813,16
306824,16
306827,16
306830,16
306831,16
306835,16
306840,16
306841,16
306844,16
306845,16
306846,16
306847,16
306859,16
306860,16
306862,16
306863,16
306864,16
306868,16
306871,16
306874,16
306879,16
306885,16
306886,16
306888,16
306889,16
306893,16
306894,16
306895,16
306897,16
306899,16
306902,16
306903,16
306909,16
306915,16
306916,16
75727,17
75741,17
75743,17
75755,17
75762,17
75764,17
75765,17
75766,17
75767,17
75774,17
75777,17
75782,17
75789,17
75790,17
75791,17
75793,17
75794,17
75795,17
75798,17
75800,17
75801,17
75810,17
75823,17
75824,17
75830,17
75831,17
75833,17
75842,17
75843,17
75844,17
75846,17
75850,17
75851,17
75853,17
75861,17
75862,17
277285,18
277286,18
277304,18
277308,18
277316,18
277336,18
277337,18
277341,18
277367,18
277372,18
277382,18
277396,18
277413,18
277427,18
277430,18
277431,18
277441,18
277446,18
277451,18
277452,18
277461,18
277468,18
277477,18
277481,18
277486,18
277491,18
277497,18
277503,18
277504,18
277528,18
277573,18
277619,18
277624,18
277632,18
277637,18
277678,18
6725,19
6726,19
6734,19
